,Date,death_cases
0,2020-03-23,1
1,2020-03-26,1
2,2020-03-27,1
3,2020-03-28,1
4,2020-03-29,1
5,2020-04-01,1
6,2020-04-02,2
7,2020-04-04,1
8,2020-04-07,1
9,2020-04-09,1
10,2020-04-11,2
11,2020-04-12,1
12,2020-04-14,1
13,2020-04-17,1
14,2020-04-18,1
15,2020-04-22,2
16,2020-04-26,1
17,2020-04-27,1
18,2020-04-28,1
19,2020-04-29,1
20,2020-04-30,2
21,2020-05-01,1
22,2020-05-02,2
23,2020-05-05,5
24,2020-05-06,2
25,2020-05-08,4
26,2020-05-09,2
27,2020-05-10,3
28,2020-05-11,3
29,2020-05-12,3
30,2020-05-13,1
31,2020-05-14,4
32,2020-05-15,1
33,2020-05-17,1
34,2020-05-18,1
35,2020-05-20,1
36,2020-05-21,2
37,2020-05-22,1
38,2020-05-23,4
39,2020-05-24,3
40,2020-05-25,2
41,2020-05-26,3
42,2020-05-27,7
43,2020-05-28,2
44,2020-05-29,2
45,2020-05-30,3
46,2020-05-31,3
47,2020-06-01,3
48,2020-06-02,7
49,2020-06-03,5
50,2020-06-05,3
51,2020-06-06,1
52,2020-06-08,6
53,2020-06-09,2
54,2020-06-10,3
55,2020-06-11,5
56,2020-06-12,6
57,2020-06-13,2
58,2020-06-14,4
59,2020-06-15,4
60,2020-06-16,4
61,2020-06-17,11
62,2020-06-18,6
63,2020-06-20,7
64,2020-06-21,1
65,2020-06-22,4
66,2020-06-23,4
67,2020-06-24,7
68,2020-06-25,7
69,2020-06-26,5
70,2020-06-27,4
71,2020-06-28,9
72,2020-06-29,6
73,2020-06-30,8
74,2020-07-01,6
75,2020-07-02,7
76,2020-07-03,15
77,2020-07-04,5
78,2020-07-05,8
79,2020-07-06,3
80,2020-07-07,3
81,2020-07-08,11
82,2020-07-09,12
83,2020-07-10,13
84,2020-07-11,8
85,2020-07-12,4
86,2020-07-13,8
87,2020-07-14,6
88,2020-07-15,11
89,2020-07-16,13
90,2020-07-17,11
91,2020-07-18,12
92,2020-07-19,17
93,2020-07-20,9
94,2020-07-21,12
95,2020-07-22,34
96,2020-07-23,22
97,2020-07-24,7
98,2020-07-25,15
99,2020-07-26,15
100,2020-07-27,7
101,2020-07-28,20
102,2020-07-29,11
103,2020-07-30,12
104,2020-07-31,10
105,2020-08-01,7
106,2020-08-02,6
107,2020-08-03,9
108,2020-08-04,14
109,2020-08-05,7
110,2020-08-06,14
111,2020-08-07,6
112,2020-08-08,10
113,2020-08-09,17
114,2020-08-10,9
115,2020-08-11,14
116,2020-08-12,16
117,2020-08-13,16
118,2020-08-14,12
119,2020-08-15,8
120,2020-08-16,5
121,2020-08-17,11
122,2020-08-18,7
123,2020-08-19,8
124,2020-08-20,2
125,2020-08-21,6
126,2020-08-22,5
127,2020-08-23,3
128,2020-08-24,4
129,2020-08-25,9
130,2020-08-26,8
131,2020-08-27,7
132,2020-08-28,7
133,2020-08-29,6
134,2020-08-30,4
135,2020-08-31,3
136,2020-09-01,9
137,2020-09-02,2
138,2020-09-03,4
139,2020-09-04,3
140,2020-09-05,1
141,2020-09-06,4
142,2020-09-07,10
143,2020-09-08,5
144,2020-09-09,3
145,2020-09-10,8
146,2020-09-11,2
147,2020-09-12,9
148,2020-09-13,2
149,2020-09-14,2
150,2020-09-15,5
151,2020-09-16,5
152,2020-09-17,3
153,2020-09-18,5
154,2020-09-19,4
155,2020-09-20,2
156,2020-09-21,3
157,2020-09-22,4
158,2020-09-23,7
159,2020-09-24,2
160,2020-09-25,4
161,2020-09-26,9
162,2020-09-27,1
163,2020-09-28,6
164,2020-09-29,1
165,2020-09-30,7
166,2020-10-01,4
167,2020-10-02,3
168,2020-10-03,4
169,2020-10-04,2
170,2020-10-05,3
171,2020-10-06,12
172,2020-10-07,3
173,2020-10-08,15
174,2020-10-09,6
175,2020-10-10,7
176,2020-10-11,4
177,2020-10-12,16
178,2020-10-13,15
179,2020-10-14,24
180,2020-10-15,11
181,2020-10-16,15
182,2020-10-17,8
183,2020-10-18,8
184,2020-10-19,16
185,2020-10-20,10
186,2020-10-21,34
187,2020-10-22,7
188,2020-10-23,15
189,2020-10-24,5
190,2020-10-25,3
191,2020-10-26,14
192,2020-10-27,22
193,2020-10-28,11
194,2020-10-29,14
195,2020-10-30,33
196,2020-10-31,9
197,2020-11-01,10
198,2020-11-02,10
199,2020-11-03,35
200,2020-11-04,23
201,2020-11-05,13
202,2020-11-06,18
203,2020-11-07,8
204,2020-11-08,12
205,2020-11-09,28
206,2020-11-10,18
207,2020-11-11,18
208,2020-11-12,18
209,2020-11-13,15
210,2020-11-14,9
211,2020-11-15,10
212,2020-11-16,20
213,2020-11-17,22
214,2020-11-18,37
215,2020-11-19,21
216,2020-11-20,9
217,2020-11-21,15
218,2020-11-22,9
219,2020-11-23,10
220,2020-11-24,18
221,2020-11-25,12
222,2020-11-26,14
223,2020-11-27,16
224,2020-11-28,9
225,2020-11-29,5
226,2020-11-30,17
227,2020-12-01,15
228,2020-12-02,16
229,2020-12-03,16
230,2020-12-04,11
231,2020-12-05,7
232,2020-12-07,9
233,2020-12-08,7
234,2020-12-09,12
235,2020-12-10,15
236,2020-12-11,9
237,2020-12-12,6
238,2020-12-13,6
239,2020-12-14,2
240,2020-12-15,4
241,2020-12-16,7
242,2020-12-17,3
